PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_q,Embarked_s,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown
1,0,3,-0.5348911628688886,0.4327933656785018,-0.4736736092984604,-0.5641087873940193,True,False,True,False,False,False,False,False,False,False,True
2,1,1,0.6683917564561223,0.4327933656785018,-0.4736736092984604,0.9425480546638041,False,False,False,False,True,False,False,False,False,False,False
3,1,3,-0.23407043303763592,-0.47454519624983954,-0.4736736092984604,-0.548226529750121,False,False,True,False,False,False,False,False,False,False,True
4,1,1,0.4427762090826827,0.4327933656785018,-0.4736736092984604,0.5147082688618853,False,False,True,False,True,False,False,False,False,False,False
5,0,3,0.4427762090826827,-0.47454519624983954,-0.4736736092984604,-0.5452853709271769,True,False,True,False,False,False,False,False,False,False,True
6,0,3,-0.3092756154954491,-0.47454519624983954,-0.4736736092984604,-0.5356783697479123,True,True,False,False,False,False,False,False,False,False,True
7,0,1,1.8716746757811333,-0.47454519624983954,-0.4736736092984604,0.4855907965147383,True,False,True,False,False,False,True,False,False,False,False
8,0,3,-2.038994812025152,2.2474704895351842,0.7676298785983874,-0.23881662157639924,True,False,True,False,False,False,False,False,False,False,True
9,1,3,-0.15886525057982273,-0.47454519624983954,2.0089333664952354,-0.47273757093690794,False,False,True,False,False,False,False,False,False,False,True
10,1,2,-1.136532622531394,0.4327933656785018,-0.4736736092984604,-0.027152009260873307,False,False,False,False,False,False,False,False,False,False,True
11,1,3,-1.8885844471095259,0.4327933656785018,0.7676298785983874,-0.3417571803794436,False,False,True,False,False,False,False,False,True,False,False
12,1,1,2.172495405612386,-0.47454519624983954,-0.4736736092984604,-0.10999386513144661,False,False,True,False,True,False,False,False,False,False,False
13,0,3,-0.685301527784515,-0.47454519624983954,-0.4736736092984604,-0.5452853709271769,True,False,True,False,False,False,False,False,False,False,True
14,0,3,0.7435969389139355,0.4327933656785018,5.73284383018578,0.0011819383758412065,True,False,True,False,False,False,False,False,False,False,True
15,0,3,-1.136532622531394,-0.47454519624983954,-0.4736736092984604,-0.5498924021074366,False,False,True,False,False,False,False,False,False,False,True
16,1,2,1.9468798582389464,-0.47454519624983954,-0.4736736092984604,-0.35822766978793064,False,False,True,False,False,False,False,False,False,False,True
17,0,3,-2.038994812025152,3.1548090514635256,0.7676298785983874,-0.04940599337879768,True,True,False,False,False,False,False,False,False,False,True
18,1,2,0.06675029679361683,-0.47454519624983954,-0.4736736092984604,-0.4288154815385896,True,False,True,False,False,False,False,False,False,False,True
19,0,3,0.14195547925143,0.4327933656785018,-0.4736736092984604,-0.3111691286208247,False,False,True,False,False,False,False,False,False,False,True
20,1,3,-0.5724937540977952,-0.47454519624983954,-0.4736736092984604,-0.5646970191586081,False,False,False,False,False,False,False,False,False,False,True
